formula,activity,syngony,length,length_unit,width,width_unit,depth,depth_unit,surface,km_value,km_unit,vmax_value,vmax_unit,target_source,reaction_type,c_min,c_min_unit,c_max,c_max_unit,c_const,c_const_unit,ccat_value,ccat_unit,ph,temperature,doi,pdf,access,title,journal,year,visual
Cerium Oxide ,oxidase,,100,nm,100,nm,100,nm,dextran,0.8,mM,0.3,μM s-1,text,TMB,,,,,,,5,μM,4,,10.1002/anie.200805279,ANIE.200805279,1,Oxidaseâ€Like Activity of Polymerâ€Coated Cerium Oxide Nanoparticles,Angewandte Chemie International Edition,2009,0
Au,oxidase,,13,nm,13,nm,13,nm,,4.73,mmol L-1,0.68,μL mol s-1,text,glucose,,,,,,,15,nmol L-1,,,10.1002/anie.201105121,ANIE.201105121,0,Catalytic Gold Nanoparticles for Nanoplasmonic Detection of DNA Hybridization,Angewandte Chemie International Edition,2011,0
Au,oxidase,,13,nm,13,nm,13,nm,ss-DNA,17.67,mmol L-1,0.18,μL mol s-1,text,glucose,,,,,,,15,nmol L-1,,,10.1002/anie.201105121,ANIE.201105121,0,Catalytic Gold Nanoparticles for Nanoplasmonic Detection of DNA Hybridization,Angewandte Chemie International Edition,2011,0
Au,oxidase,,13,nm,13,nm,13,nm,ds-DNA,6.98,mmol L-1,0.53,μL mol s-1,text,glucose,,,,,,,15,nmol L-1,,,10.1002/anie.201105121,ANIE.201105121,0,Catalytic Gold Nanoparticles for Nanoplasmonic Detection of DNA Hybridization,Angewandte Chemie International Edition,2011,0
Mn3O4,peroxidase,tetragonal,180,nm,180,nm,180,nm,,0.196,mM,0.056,mM min-1,si,H2O2 + GSH,0,mM,1.8,mM,2,mM,10,ng μL-1,,25,10.1002/anie.201708573,ANIE.201708573,0,A Redox Modulatory Mn<sub>3</sub>O<sub>4</sub> Nanozyme with Multiâ€Enzyme Activity Provides Efficient Cytoprotection to Human Cells in a Parkinson's Disease Model,Angewandte Chemie International Edition,2017,1
Mn3O4,peroxidase,tetragonal,180,nm,180,nm,180,nm,,1.16,mM,0.078,mM min-1,si,GSH + H2O2,0,mM,5,mM,1,mM,10,ng μL-1,,25,10.1002/anie.201708573,ANIE.201708573,0,A Redox Modulatory Mn<sub>3</sub>O<sub>4</sub> Nanozyme with Multiâ€Enzyme Activity Provides Efficient Cytoprotection to Human Cells in a Parkinson's Disease Model,Angewandte Chemie International Edition,2017,1
Mn3O4,catalase,tetragonal,180,nm,180,nm,180,nm,,0.511,mM,7.33,mM min-1,si,H2O2 + DMPO,0,mM,3,mM,100,mM,5,ng μL-1,,25,10.1002/anie.201708573,ANIE.201708573,0,A Redox Modulatory Mn<sub>3</sub>O<sub>4</sub> Nanozyme with Multiâ€Enzyme Activity Provides Efficient Cytoprotection to Human Cells in a Parkinson's Disease Model,Angewandte Chemie International Edition,2017,1
V2O5,peroxidase,orthorhombic,,,,,,,,1280,μM,279.3,μM min-1,si,GSH + H2O2,0,mM,6,mM,0.2,mM,20,ng μL-1,7.4,25,10.1002/anie.201800681,ANIE.201800681,0,Nanoisozymes: Crystalâ€Facetâ€Dependent Enzymeâ€Mimetic Activity of V<sub>2</sub>O<sub>5</sub> Nanomaterials,Angewandte Chemie International Edition,2018,1
V2O5,peroxidase,orthorhombic,,,,,,,,3425,μM,467.3,μM min-1,si,GSH + H2O2,0,mM,6,mM,0.2,mM,20,ng μL-1,7.4,25,10.1002/anie.201800681,ANIE.201800681,0,Nanoisozymes: Crystalâ€Facetâ€Dependent Enzymeâ€Mimetic Activity of V<sub>2</sub>O<sub>5</sub> Nanomaterials,Angewandte Chemie International Edition,2018,1
V2O5,peroxidase,orthorhombic,,,,,,,,1671,μM,432.9,μM min-1,si,GSH + H2O2,0,mM,6,mM,0.2,mM,20,ng μL-1,7.4,25,10.1002/anie.201800681,ANIE.201800681,0,Nanoisozymes: Crystalâ€Facetâ€Dependent Enzymeâ€Mimetic Activity of V<sub>2</sub>O<sub>5</sub> Nanomaterials,Angewandte Chemie International Edition,2018,1
V2O5,peroxidase,orthorhombic,,,,,,,,1958,μM,602.4,μM min-1,si,GSH + H2O2,0,mM,6,mM,0.2,mM,20,ng μL-1,7.4,25,10.1002/anie.201800681,ANIE.201800681,0,Nanoisozymes: Crystalâ€Facetâ€Dependent Enzymeâ€Mimetic Activity of V<sub>2</sub>O<sub>5</sub> Nanomaterials,Angewandte Chemie International Edition,2018,1
V2O5,peroxidase,orthorhombic,,,,,,,,44.4,μM,192.3,μM min-1,text,H2O2 + GSH,0,mM,0.4,mM,2,mM,20,ng μL-1,7.4,25,10.1002/anie.201800681,ANIE.201800681,0,Nanoisozymes: Crystalâ€Facetâ€Dependent Enzymeâ€Mimetic Activity of V<sub>2</sub>O<sub>5</sub> Nanomaterials,Angewandte Chemie International Edition,2018,1
V2O5,peroxidase,orthorhombic,,,,,,,,57.3,μM,233.1,μM min-1,text,H2O2 + GSH,0,mM,0.4,mM,2,mM,20,ng μL-1,7.4,25,10.1002/anie.201800681,ANIE.201800681,0,Nanoisozymes: Crystalâ€Facetâ€Dependent Enzymeâ€Mimetic Activity of V<sub>2</sub>O<sub>5</sub> Nanomaterials,Angewandte Chemie International Edition,2018,1
V2O5,peroxidase,orthorhombic,,,,,,,,92.5,μM,340.1,μM min-1,text,H2O2 + GSH,0,mM,0.4,mM,2,mM,20,ng μL-1,7.4,25,10.1002/anie.201800681,ANIE.201800681,0,Nanoisozymes: Crystalâ€Facetâ€Dependent Enzymeâ€Mimetic Activity of V<sub>2</sub>O<sub>5</sub> Nanomaterials,Angewandte Chemie International Edition,2018,1
V2O5,peroxidase,orthorhombic,,,,,,,,143.7,μM,458.7,μM min-1,text,H2O2 + GSH,0,mM,0.4,mM,2,mM,20,ng μL-1,7.4,25,10.1002/anie.201800681,ANIE.201800681,0,Nanoisozymes: Crystalâ€Facetâ€Dependent Enzymeâ€Mimetic Activity of V<sub>2</sub>O<sub>5</sub> Nanomaterials,Angewandte Chemie International Edition,2018,1
Cu2-xTe,oxidase,,17,nm,11,nm,9,nm,DSPE-PEG,0.29,mM,14.9,μM s-1,text,GSH,0,mM,0.45,mM,,,,,,,10.1002/anie.201909729,ANIE.201909729,0,Artificial Enzyme Catalyzed Cascade Reactions: Antitumor Immunotherapy Reinforced by NIRâ€II Light,Angewandte Chemie International Edition,2019,1
Cu2-xTe,oxidase,,17,nm,11,nm,9,nm,DSPE-PEG,0.19,mM,19.3,μM s-1,text,GSH,0,mM,0.45,mM,,,,,,,10.1002/anie.201909729,ANIE.201909729,0,Artificial Enzyme Catalyzed Cascade Reactions: Antitumor Immunotherapy Reinforced by NIRâ€II Light,Angewandte Chemie International Edition,2019,1
Cu2-xTe,peroxidase,,17,nm,11,nm,9,nm,DSPE-PEG,189,mM,0.73,μM s-1,text,H2O2 + TMB,0,mM,500,mM,,,,,,,10.1002/anie.201909729,ANIE.201909729,0,Artificial Enzyme Catalyzed Cascade Reactions: Antitumor Immunotherapy Reinforced by NIRâ€II Light,Angewandte Chemie International Edition,2019,1
Cu2-xTe,peroxidase,,17,nm,11,nm,9,nm,DSPE-PEG,135,mM,0.87,μM s-1,text,H2O2 + TMB,0,mM,500,mM,,,,,,,10.1002/anie.201909729,ANIE.201909729,0,Artificial Enzyme Catalyzed Cascade Reactions: Antitumor Immunotherapy Reinforced by NIRâ€II Light,Angewandte Chemie International Edition,2019,1
TiO2,peroxidase,,,,,,,,,0.048,mM,0.37,10-8 M/s,si,TMB + H2O2,0,mM,0.8,mM,,,,,4,50,10.1002/anie.202106750,ANIE.202106750,0,A Titanium Nitride Nanozyme for pHâ€Responsive and Irradiationâ€Enhanced Cascadeâ€Catalytic Tumor Therapy,Angewandte Chemie International Edition,2021,1
TiO2,peroxidase,,,,,,,,,2.79,mM,0.48,10-8 M/s,si,H2O2 + TMB,0,mM,100,mM,,,,,4,50,10.1002/anie.202106750,ANIE.202106750,0,A Titanium Nitride Nanozyme for pHâ€Responsive and Irradiationâ€Enhanced Cascadeâ€Catalytic Tumor Therapy,Angewandte Chemie International Edition,2021,1
TiO2/TiN,peroxidase,,,,,,,,,0.083,mM,2.75,10-8 M/s,si,TMB + H2O2,0,mM,0.8,mM,,,,,4,50,10.1002/anie.202106750,ANIE.202106750,0,A Titanium Nitride Nanozyme for pHâ€Responsive and Irradiationâ€Enhanced Cascadeâ€Catalytic Tumor Therapy,Angewandte Chemie International Edition,2021,1
TiO2/TiN,peroxidase,,,,,,,,,4.96,mM,3.08,10-8 M/s,si,H2O2 + TMB,0,mM,100,mM,,,,,4,50,10.1002/anie.202106750,ANIE.202106750,0,A Titanium Nitride Nanozyme for pHâ€Responsive and Irradiationâ€Enhanced Cascadeâ€Catalytic Tumor Therapy,Angewandte Chemie International Edition,2021,1
TiN,peroxidase,cubic,70,nm,70,nm,70,nm,,0.074,mM,10,10-8 M/s,si,TMB + H2O2,0,mM,0.8,mM,,,,,4,50,10.1002/anie.202106750,ANIE.202106750,0,A Titanium Nitride Nanozyme for pHâ€Responsive and Irradiationâ€Enhanced Cascadeâ€Catalytic Tumor Therapy,Angewandte Chemie International Edition,2021,1
TiN,peroxidase,cubic,70,nm,70,nm,70,nm,,10.29,mM,7.84,10-8 M/s,si,H2O2 + TMB,0,mM,100,mM,,,,,4,50,10.1002/anie.202106750,ANIE.202106750,0,A Titanium Nitride Nanozyme for pHâ€Responsive and Irradiationâ€Enhanced Cascadeâ€Catalytic Tumor Therapy,Angewandte Chemie International Edition,2021,1
TiN,peroxidase,cubic,,,,,,,,0.034,mM,6.61,10-8 M/s,si,TMB + H2O2,0,mM,0.8,mM,,,,,4,50,10.1002/anie.202106750,ANIE.202106750,0,A Titanium Nitride Nanozyme for pHâ€Responsive and Irradiationâ€Enhanced Cascadeâ€Catalytic Tumor Therapy,Angewandte Chemie International Edition,2021,1
TiN,peroxidase,cubic,,,,,,,,9.27,mM,5.56,10-8 M/s,si,H2O2 + TMB,0,mM,100,mM,,,,,4,50,10.1002/anie.202106750,ANIE.202106750,0,A Titanium Nitride Nanozyme for pHâ€Responsive and Irradiationâ€Enhanced Cascadeâ€Catalytic Tumor Therapy,Angewandte Chemie International Edition,2021,1
TiN,peroxidase,cubic,,,,,,,,0.091,mM,7.26,10-8 M/s,si,TMB + H2O2,0,mM,0.8,mM,,,,,4,50,10.1002/anie.202106750,ANIE.202106750,0,A Titanium Nitride Nanozyme for pHâ€Responsive and Irradiationâ€Enhanced Cascadeâ€Catalytic Tumor Therapy,Angewandte Chemie International Edition,2021,1
TiN,peroxidase,cubic,,,,,,,,11.71,mM,5.67,10-8 M/s,si,H2O2 + TMB,0,mM,100,mM,,,,,4,50,10.1002/anie.202106750,ANIE.202106750,0,A Titanium Nitride Nanozyme for pHâ€Responsive and Irradiationâ€Enhanced Cascadeâ€Catalytic Tumor Therapy,Angewandte Chemie International Edition,2021,1
MnFe2O4,peroxidase,cubic,18,nm,18,nm,18,nm,,27.5,mM,10.4,10-8 M s-1,text,OPD + H2O2,5,mM,30,mM,60,mM,0.06,mg/ml,7,,10.1002/aoc.4465,AOC.4465,0,"Oxidation of oâ€phenylenediamine to 2,3â€diaminophenazine in the presence of cubic ferrites MFe<sub>2</sub>O<sub>4</sub> (M = Mn, Co, Ni, Zn) and the application in colorimetric detection of H<sub>2</sub>O<sub>2</sub>",Applied Organometallic Chemistry,2018,1
CoFe2O4,peroxidase,cubic,15,nm,15,nm,15,nm,,32.7,mM,7.8,10-8 M s-1,text,OPD + H2O2,5,mM,25,mM,60,mM,0.06,mg/ml,7,,10.1002/aoc.4465,AOC.4465,0,"Oxidation of oâ€phenylenediamine to 2,3â€diaminophenazine in the presence of cubic ferrites MFe<sub>2</sub>O<sub>4</sub> (M = Mn, Co, Ni, Zn) and the application in colorimetric detection of H<sub>2</sub>O<sub>2</sub>",Applied Organometallic Chemistry,2018,1
NiFe2O4,peroxidase,cubic,35,nm,35,nm,35,nm,,8.4,mM,0.86,10-8 M s-1,text,OPD + H2O2,3,mM,20,mM,60,mM,0.06,mg/ml,7,,10.1002/aoc.4465,AOC.4465,0,"Oxidation of oâ€phenylenediamine to 2,3â€diaminophenazine in the presence of cubic ferrites MFe<sub>2</sub>O<sub>4</sub> (M = Mn, Co, Ni, Zn) and the application in colorimetric detection of H<sub>2</sub>O<sub>2</sub>",Applied Organometallic Chemistry,2018,1
ZnFe2O4,peroxidase,cubic,10,nm,10,nm,10,nm,,22.6,mM,0.82,10-8 M s-1,text,OPD + H2O2,8,mM,25,mM,60,mM,0.06,mg/ml,7,,10.1002/aoc.4465,AOC.4465,0,"Oxidation of oâ€phenylenediamine to 2,3â€diaminophenazine in the presence of cubic ferrites MFe<sub>2</sub>O<sub>4</sub> (M = Mn, Co, Ni, Zn) and the application in colorimetric detection of H<sub>2</sub>O<sub>2</sub>",Applied Organometallic Chemistry,2018,1
MnFe2O4,oxidase,,150,nm,150,nm,150,nm,,37.76,μM,,,text,TMB,0.005,mM,0.12,mM,,,3.89,pM,4,28,10.1002/asia.201500942,ASIA.201500942,0,A Remarkably Efficient MnFe<sub>2</sub>O<sub>4</sub>â€based Oxidase Nanozyme,Chemistry â€“ An Asian Journal,2015,0
PBMNPs3,peroxidase,cubic,10.5,nm,10.5,nm,10.5,nm,,0.307,mM,0.00000106,M s-1,text,TMB + H2O2,0,mM,0.8,mM,,,0.000000000309,M,4.6,25,10.1039/C0JM00174K,C0JM00174K,0,Prussian blue modified iron oxide magnetic nanoparticles and their high peroxidase-like activity,Journal of Materials Chemistry,2010,1
PBMNPs3,peroxidase,cubic,10.5,nm,10.5,nm,10.5,nm,,323.6,mM,0.00000117,M s-1,text,H2O2 + TMB,0,mM,850,mM,,,0.000000000309,M,4.6,25,10.1039/C0JM00174K,C0JM00174K,0,Prussian blue modified iron oxide magnetic nanoparticles and their high peroxidase-like activity,Journal of Materials Chemistry,2010,1
C,peroxidase,,2.1,nm,2.1,nm,2.1,nm,,0.039,mM,3.61,10-8 M s-1,si,TMB + H2O2,0,mM,0.12,mM,50,mM,1,μg mL−1,3.5,35,10.1039/C1CC11943E,C1CC11943E,0,Carbon nanodots as peroxidase mimetics and their applications to glucose detection,Chemical Communications,2011,1
C,peroxidase,,2.1,nm,2.1,nm,2.1,nm,,26.77,mM,30.61,10-8 M s-1,si,H2O2 + TMB,0,mM,300,mM,0.8,mM,1,μg mL−1,3.5,35,10.1039/C1CC11943E,C1CC11943E,0,Carbon nanodots as peroxidase mimetics and their applications to glucose detection,Chemical Communications,2011,1
CoFe2O4,peroxidase,,14,nm,14,nm,14,nm,,75.2,μM,,,text,H2O2 + TMB,1,mM,10,mM,,,8,mg L-1,6,25,10.1039/C1CC14300J,C1CC14300J,0,CoFe2O4 magnetic nanoparticles as a peroxidase mimic mediated chemiluminescence for hydrogen peroxide and glucose,Chemical Communications,2011,0
Fe2O3,peroxidase,,110,nm,110,nm,110,nm,,0.768,mM,5,nM s-1,text,TMB + H2O2,,,,,,,3,mM,4,37,10.1039/C1CY00124H,C1CY00124H,0,Peroxidase mimic activity of hematiteiron oxides (Î±-Fe<sub>2</sub>O<sub>3</sub>) with different nanostructures,Catal. Sci. Technol.,2012,0
Fe2O3,peroxidase,,100,nm,100,nm,100,nm,,0.957,mM,6.3,nM s-1,text,TMB + H2O2,,,,,,,3,mM,4,37,10.1039/C1CY00124H,C1CY00124H,0,Peroxidase mimic activity of hematiteiron oxides (Î±-Fe<sub>2</sub>O<sub>3</sub>) with different nanostructures,Catal. Sci. Technol.,2012,0
Fe2O3,peroxidase,,380,nm,31,nm,31,nm,,0.257,mM,16.5,nM s-1,text,TMB + H2O2,,,,,,,3,mM,4,37,10.1039/C1CY00124H,C1CY00124H,0,Peroxidase mimic activity of hematiteiron oxides (Î±-Fe<sub>2</sub>O<sub>3</sub>) with different nanostructures,Catal. Sci. Technol.,2012,0
Fe2O3,peroxidase,,330,nm,30,nm,30,nm,,0.317,mM,15.3,nM s-1,text,TMB + H2O2,,,,,,,3,mM,4,37,10.1039/C1CY00124H,C1CY00124H,0,Peroxidase mimic activity of hematiteiron oxides (Î±-Fe<sub>2</sub>O<sub>3</sub>) with different nanostructures,Catal. Sci. Technol.,2012,0
Fe2O3,peroxidase,,278,nm,30,nm,30,nm,,0.518,mM,10.6,nM s-1,text,TMB + H2O2,,,,,,,3,mM,4,37,10.1039/C1CY00124H,C1CY00124H,0,Peroxidase mimic activity of hematiteiron oxides (Î±-Fe<sub>2</sub>O<sub>3</sub>) with different nanostructures,Catal. Sci. Technol.,2012,0
Co3O4,peroxidase,,3000,nm,3000,nm,30,nm,,0.12,mM,3.32,10-7 M s-1,text,TMB + H2O2,0,mM,0.8,mM,25,μM,40,μg mL−1,4.4,40,10.1039/C1JM14253D,C1JM14253D,0,Self-assembly into magnetic Co<sub>3</sub>O<sub>4</sub>complex nanostructures as peroxidase,J. Mater. Chem.,2012,1
Co3O4,peroxidase,,3000,nm,3000,nm,30,nm,,245,mM,2.85,10-7 M s-1,text,H2O2 + TMB,0,mM,1,mM,800,μM,40,μg mL−1,4.4,40,10.1039/C1JM14253D,C1JM14253D,0,Self-assembly into magnetic Co<sub>3</sub>O<sub>4</sub>complex nanostructures as peroxidase,J. Mater. Chem.,2012,1
CuO,peroxidase,monoclinic,6.3,nm,6.3,nm,6.3,nm,,0.016,mM,,,text,TMB + H2O2,0,mM,0.7,mM,1.5,M,4,μg mL−1,4,37,10.1039/C2AN35072F,C2AN35072F,0,Peroxidase-like activity of water-soluble cupric oxide nanoparticles and its analytical application for detection of hydrogen peroxide and glucose,The Analyst,2012,1
CuO,peroxidase,monoclinic,6.3,nm,6.3,nm,6.3,nm,,41,mM,,,text,H2O2 + TMB,0,mM,400,mM,665,μM,4,μg mL−1,4,37,10.1039/C2AN35072F,C2AN35072F,0,Peroxidase-like activity of water-soluble cupric oxide nanoparticles and its analytical application for detection of hydrogen peroxide and glucose,The Analyst,2012,1
MnO2,peroxidase,,4.5,nm,4.5,nm,4.5,nm,BSA,0.31,mM,8.21,10-8 M s-1,text,OPD + H2O2,1,mM,8,mM,3.3,mM,3.7,mg mL-1,4,35,10.1039/C2AN35700C,C2AN35700C,0,BSA-templated MnO2 nanoparticles as both peroxidase and oxidase mimics,The Analyst,2012,1
MnO2,peroxidase,,4.5,nm,4.5,nm,4.5,nm,BSA,0.12,mM,5.71,10-8 M s-1,text,H2O2 + OPD,0,mM,4,mM,0.17,10.1039/C1CC11943E,3.7,mg mL-1,4,35,10.1039/C2AN35700C,C2AN35700C,0,BSA-templated MnO2 nanoparticles as both peroxidase and oxidase mimics,The Analyst,2012,1
MnO2,oxidase,,4.5,nm,4.5,nm,4.5,nm,BSA,0.04,mM,578,10-8 M s-2,text,TMB,,,,,,,3.7,mg mL-1,4,35,10.1039/C2AN35700C,C2AN35700C,0,BSA-templated MnO2 nanoparticles as both peroxidase and oxidase mimics,The Analyst,2012,0
CeO2,peroxidase,cubic,8-14,nm,8-14,nm,8-14,nm,,0.46,10-4 M,0.94,10-8 M s-1,text,TMB + H2O2,0,mM,0.8,mM,50,mM,0.6,mg mL-1,4,45,10.1039/C2AY25511A,C2AY25511A,0,Well-redispersed ceria nanoparticles: Promising peroxidase mimetics for H2O2 and glucose detection,Analytical Methods,2012,1
CeO2,peroxidase,cubic,8-14,nm,8-14,nm,8-14,nm,,646,10-4 M,5.07,10-8 M s-1,text,H2O2 + TMB,10,mM,120,mM,5,mM,0.6,mg mL-1,4,45,10.1039/C2AY25511A,C2AY25511A,0,Well-redispersed ceria nanoparticles: Promising peroxidase mimetics for H2O2 and glucose detection,Analytical Methods,2012,1
Co3O4,peroxidase,cubic,20,nm,20,nm,20,nm,,0.037,mM,0.0000000627,M s-1,si,TMB + H2O2,0,mM,0.5,mM,100,mM,10,μg mL−1,5,25,10.1039/C2CC17013B,C2CC17013B,0,Intrinsic peroxidase-like activity and catalase-like activity of Co3O4 nanoparticles,Chemical Communications,2012,1
Co3O4,peroxidase,cubic,20,nm,20,nm,20,nm,,140.07,mM,0.000000121,M s-1,si,H2O2 + TMB,0,mM,2000,mM,0.3,mM,10,μg mL−1,5,25,10.1039/C2CC17013B,C2CC17013B,0,Intrinsic peroxidase-like activity and catalase-like activity of Co3O4 nanoparticles,Chemical Communications,2012,1
Bi-Au,peroxidase,cubic,13,nm,13,nm,13,nm,,89.3,μM,15,nM S-1,si,AR + H2O2,0,mM,0.1,mM,500,μM,,,7,,10.1039/C2CC32833J,C2CC32833J,0,Peroxidase-mimic bismuthâ€“gold nanoparticles for determining the activity of thrombin and drug screening,Chemical Communications,2012,1
Bi-Au,peroxidase,cubic,13,nm,13,nm,13,nm,,119,μM,0.725,nM S-1,si,H2O2 + AR,0,mM,1,mM,10,μM,,,7,,10.1039/C2CC32833J,C2CC32833J,0,Peroxidase-mimic bismuthâ€“gold nanoparticles for determining the activity of thrombin and drug screening,Chemical Communications,2012,1
Bi-Au,peroxidase,cubic,,,,,,,fibrinogen,377,μM,1.25,nM S-1,si,AR + H2O2,0,mM,0.1,mM,500,μM,,,7,,10.1039/C2CC32833J,C2CC32833J,0,Peroxidase-mimic bismuthâ€“gold nanoparticles for determining the activity of thrombin and drug screening,Chemical Communications,2012,1
Bi-Au,peroxidase,cubic,,,,,,,fibrinogen,70,μM,0.034,nM S-1,si,H2O2 + AR,0,mM,1,mM,10,μM,,,7,,10.1039/C2CC32833J,C2CC32833J,0,Peroxidase-mimic bismuthâ€“gold nanoparticles for determining the activity of thrombin and drug screening,Chemical Communications,2012,1
Pt0.1/Au,peroxidase,cubic,11.6,nm,11.6,nm,11.6,nm,,113,μM,18,nM S-1,text,AR + H2O2,,,,,,,,,7,,10.1039/C2NR31716H,C2NR31716H,0,Detection of mercury ions based on mercury-induced switching of enzyme-like activity of platinum/gold nanoparticles,Nanoscale,2012,0
Pt0.1/Au,peroxidase,cubic,11.6,nm,11.6,nm,11.6,nm,,436,μM,0.664,nM S-1,text,H2O2 + AR,,,,,,,,,7,,10.1039/C2NR31716H,C2NR31716H,0,Detection of mercury ions based on mercury-induced switching of enzyme-like activity of platinum/gold nanoparticles,Nanoscale,2012,0
Fe0.5Co0.5,peroxidase,,12.8,nm,12.8,nm,12.8,nm,,1.79,mmol L-1,0.000000456,mol L-1 s-1,text,TMB + H2O2,0,mM,2.5,mM,50,mM,3.5,μg mL−1,4,35,10.1039/C3CC41569D,C3CC41569D,0,Feâ€“Co bimetallic alloy nanoparticles as a highly active peroxidase mimetic and its application in biosensing,Chemical Communications,2013,1
Fe0.5Co0.5,peroxidase,,12.8,nm,12.8,nm,12.8,nm,,0.06,mmol L-1,0.000000132,mol L-1 s-1,text,H2O2 + TMB,0,mM,1,mM,0.8,mmol L-1,3.5,μg mL−1,4,35,10.1039/C3CC41569D,C3CC41569D,0,Feâ€“Co bimetallic alloy nanoparticles as a highly active peroxidase mimetic and its application in biosensing,Chemical Communications,2013,1
Fe,peroxidase,,,,,,,,,0.38,mmol L-1,0.000000238,mol L-1 s-1,text,TMB + H2O2,0,mM,2.5,mM,50,mM,3.5,μg mL−1,3.5,45,10.1039/C3CC41569D,C3CC41569D,0,Feâ€“Co bimetallic alloy nanoparticles as a highly active peroxidase mimetic and its application in biosensing,Chemical Communications,2013,1
Fe,peroxidase,,,,,,,,,0.32,mmol L-1,0.00000041,mol L-1 s-1,text,H2O2 + TMB,0,mM,1,mM,0.8,mmol L-1,3.5,μg mL−1,3.5,45,10.1039/C3CC41569D,C3CC41569D,0,Feâ€“Co bimetallic alloy nanoparticles as a highly active peroxidase mimetic and its application in biosensing,Chemical Communications,2013,1
Co,peroxidase,,,,,,,,,5.09,mmol L-1,0.0000000998,mol L-1 s-1,text,TMB + H2O2,0,mM,2.5,mM,50,mM,3.5,μg mL−1,3.5,45,10.1039/C3CC41569D,C3CC41569D,0,Feâ€“Co bimetallic alloy nanoparticles as a highly active peroxidase mimetic and its application in biosensing,Chemical Communications,2013,1
Co,peroxidase,,,,,,,,,1.14,mmol L-1,0.0000000172,mol L-1 s-1,text,H2O2 + TMB,0,mM,1,mM,0.8,mmol L-1,3.5,μg mL−1,3.5,45,10.1039/C3CC41569D,C3CC41569D,0,Feâ€“Co bimetallic alloy nanoparticles as a highly active peroxidase mimetic and its application in biosensing,Chemical Communications,2013,1
BiOBr,peroxidase,tetragonal,1000-2000,nm,1000-2000,nm,1000-2000,nm,,1.61,mM,2.63,10-8 M s-1,si,TMB + H2O2,0,mM,1.8,mM,0.2,mM,38,μg mL−1,4,40,10.1039/C3NR06533B,C3NR06533B,0,Hierarchical {001}-faceted BiOBr microspheres as a novel biomimetic catalyst: dark catalysis towards colorimetric biosensing and pollutant degradation,Nanoscale,2014,1
BiOBr,peroxidase,tetragonal,1000-2000,nm,1000-2000,nm,1000-2000,nm,,0.046,mM,0.37,10-8 M s-1,si,H2O2 + TMB,0,mM,0.4,mM,0.79,mM,38,μg mL−1,4,40,10.1039/C3NR06533B,C3NR06533B,0,Hierarchical {001}-faceted BiOBr microspheres as a novel biomimetic catalyst: dark catalysis towards colorimetric biosensing and pollutant degradation,Nanoscale,2014,1
Pt4,oxidase,,,,,,,,,0.63,mM,2.7,μM s-1,text,TMB,0.1,mM,1,mM,,,,,4,,10.1039/C3NR06896J,C3NR06896J,0,Lysozyme-directed synthesis of platinum nanoclusters as a mimic oxidase,Nanoscale,2014,0
Au@Pt,peroxidase,,,,,,,,,0.02,mM,0.0000000291,M s-1,text,TMB + H2O2,0.02,mM,0.1,mM,2,mM,10.4,pM,4.5,37,10.1039/C3RA23215H,C3RA23215H,0,Au@PtAg core/shell nanorods: tailoring enzyme-like activities via alloying,RSC Advances,2013,0
Au@Pt,peroxidase,,,,,,,,,76,mM,0.00000075,M s-1,text,H2O2 + TMB,0,mM,800,mM,0.13,mM,10.4,pM,4.5,37,10.1039/C3RA23215H,C3RA23215H,0,Au@PtAg core/shell nanorods: tailoring enzyme-like activities via alloying,RSC Advances,2013,0
Au@PtAg0.33,peroxidase,,,,,,,,,0.016,mM,0.0000000176,M s-1,text,TMB + H2O2,0.01,mM,0.1,mM,2,mM,10.4,pM,4.5,37,10.1039/C3RA23215H,C3RA23215H,0,Au@PtAg core/shell nanorods: tailoring enzyme-like activities via alloying,RSC Advances,2013,0
Au@PtAg0.33,peroxidase,,,,,,,,,92,mM,0.00000054,M s-1,text,H2O2 + TMB,0,mM,800,mM,0.13,mM,10.4,pM,4.5,37,10.1039/C3RA23215H,C3RA23215H,0,Au@PtAg core/shell nanorods: tailoring enzyme-like activities via alloying,RSC Advances,2013,0
Au@PtAg0.5,peroxidase,,,,,,,,,0.01,mM,0.0000000129,M s-1,text,TMB + H2O2,0.01,mM,0.06,mM,2,mM,10.4,pM,4.5,37,10.1039/C3RA23215H,C3RA23215H,0,Au@PtAg core/shell nanorods: tailoring enzyme-like activities via alloying,RSC Advances,2013,0
Au@PtAg0.5,peroxidase,,,,,,,,,111.8,mM,0.0000005,M s-1,text,H2O2 + TMB,0,mM,800,mM,0.13,mM,10.4,pM,4.5,37,10.1039/C3RA23215H,C3RA23215H,0,Au@PtAg core/shell nanorods: tailoring enzyme-like activities via alloying,RSC Advances,2013,0
Au-Pt,oxidase,,,,,,,,,8.9,μM,0.0000000177,M s-1,text,TMB,0,mM,0.05,mM,,,41.7,pM,4.5,37,10.1039/C3RA23215H,C3RA23215H,0,Au@PtAg core/shell nanorods: tailoring enzyme-like activities via alloying,RSC Advances,2013,0
Au@PtAg0.33,oxidase,,,,,,,,,6.5,μM,0.0000000092,M s-1,text,TMB,0,mM,0.14,mM,,,41.7,pM,4.5,37,10.1039/C3RA23215H,C3RA23215H,0,Au@PtAg core/shell nanorods: tailoring enzyme-like activities via alloying,RSC Advances,2013,0
